,geometry,avg_temp,avg_min_month,avg_max_month
42447,POINT (55.5 57.5),1.6152639389038086,-15.508637,18.044397
42448,POINT (55.5 58.5),1.343777020772298,-15.3280115,17.52186
42449,POINT (55.5 59.5),0.8329241275787354,-15.922964,17.371243
42450,POINT (55.5 60.5),0.4069819450378418,-16.422722,17.276472
42451,POINT (55.5 61.5),-0.584619919459025,-17.456114,16.553858
42452,POINT (55.5 62.5),-1.5070444742838542,-18.504328,15.973001
42453,POINT (55.5 63.5),-1.9236424763997395,-18.92694,15.845021
42454,POINT (55.5 64.5),-2.5365400314331055,-19.533743,15.666152
42455,POINT (55.5 65.5),-3.1552677154541016,-19.639946,15.112417
42456,POINT (55.5 66.5),-4.15660285949707,-19.740978,13.919842
42457,POINT (55.5 67.5),-5.141371409098308,-20.045418,13.003364
42458,POINT (55.5 68.5),-5.193343162536621,-18.257769,9.583697
42460,POINT (55.5 70.5),-5.9287363688151045,-17.620886,6.3399863
42461,POINT (55.5 71.5),-6.77849006652832,-18.314503,6.7846494
42462,POINT (55.5 72.5),-7.858011881510417,-18.187563,4.6587067
42463,POINT (55.5 73.5),-9.638071695963541,-19.728779,4.165848
42464,POINT (55.5 74.5),-7.964562733968099,-17.266405,3.1852474
42470,POINT (55.5 80.5),-12.711128234863281,-23.716932,1.3903834
42471,POINT (55.5 81.5),-13.142401377360025,-24.038553,0.16773307
42480,POINT (56.5 -89.5),-49.13487752278646,-60.22407,-26.434769
42481,POINT (56.5 -88.5),-49.78473409016927,-61.218826,-26.521912
42482,POINT (56.5 -87.5),-49.14857482910156,-60.760662,-25.761555
42483,POINT (56.5 -86.5),-49.45326232910156,-61.12955,-26.142887
42484,POINT (56.5 -85.5),-50.6134999593099,-62.293724,-27.458488
42485,POINT (56.5 -84.5),-51.34310404459635,-62.98017,-28.38437
42486,POINT (56.5 -83.5),-52.68772888183594,-64.2146,-30.009563
42487,POINT (56.5 -82.5),-54.44742329915365,-65.83437,-32.143364
42488,POINT (56.5 -81.5),-55.16544087727865,-66.40812,-33.350533
42489,POINT (56.5 -80.5),-55.71319071451823,-66.7824,-34.494358
42490,POINT (56.5 -79.5),-52.74883524576823,-63.5917,-32.206715
42491,POINT (56.5 -78.5),-50.06158447265625,-60.610954,-30.220697
42492,POINT (56.5 -77.5),-47.73688761393229,-57.943554,-28.57913
42493,POINT (56.5 -76.5),-45.19086710611979,-55.03955,-26.656103
42494,POINT (56.5 -75.5),-43.23502095540365,-52.752697,-25.26222
42495,POINT (56.5 -74.5),-40.61424001057943,-49.86256,-23.114697
42496,POINT (56.5 -73.5),-41.22015126546224,-50.29305,-24.084562
42497,POINT (56.5 -72.5),-42.47159322102865,-51.429924,-25.807749
42498,POINT (56.5 -71.5),-43.219685872395836,-52.012604,-27.32501
42499,POINT (56.5 -70.5),-41.84832255045573,-50.224113,-27.254944
42500,POINT (56.5 -69.5),-37.97935231526693,-45.866055,-24.800657
42501,POINT (56.5 -68.5),-29.023768107096355,-36.401115,-17.395859
42502,POINT (56.5 -67.5),-17.00165557861328,-23.964378,-6.8674603
42503,POINT (56.5 -66.5),-11.091503143310547,-18.137959,-1.3627406
42588,POINT (56.5 18.5),26.469818115234375,19.968887,31.871073
42589,POINT (56.5 19.5),26.29956309000651,18.796677,32.315063
42590,POINT (56.5 20.5),26.751492818196613,18.675478,33.128963
42591,POINT (56.5 21.5),27.917996724446613,19.378277,34.75936
42592,POINT (56.5 22.5),28.080245971679688,19.187063,35.49658
42593,POINT (56.5 23.5),27.0060551961263,18.066648,34.603508
42594,POINT (56.5 24.5),26.82135772705078,19.202927,33.142647
42595,POINT (56.5 25.5),26.59361521402995,19.59802,32.345043
42596,POINT (56.5 26.5),26.653157552083332,19.58841,32.570763
42597,POINT (56.5 27.5),24.75648244222005,14.612719,33.669594
42598,POINT (56.5 28.5),19.16330083211263,7.92578,29.568735
42599,POINT (56.5 29.5),13.710516611735025,2.4080353,24.780869
